id,brand,categories,name,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.isSale
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,49.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,64.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,51.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,59.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,59.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,54.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,54.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,38.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,54.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,49.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,64.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,59.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,64.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,49.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,49.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,49.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,64.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,51.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,64.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,38.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,64.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,64.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
