id,brand,categories,name,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.isSale
AV-ncxniKZqtpbFMS0GX,SKECHERS,"Womens,Sneakers,Womens Casual Shoes,Womens Shoes,Clothing,Women's Shoes,Shoes,Athletic Shoes,Skechers,All Women's Shoes",Skechers Women's Skech-Air Lingle Black Memory Foam Slip Resistant Sneaker Shoes,85,85,,USD,FALSE
AV14CA98vKc47QAVnx6N,SKECHERS,"Sneakers,Womens Shoes,Clothing,Work Safety Clothing and Equipment,Shoes,Skechers,All Women's Shoes,Womens,Women's Shoes,Home Improvement,All Womens Shoes,Athletic Shoes,Women's Work & Safety Shoes",76580 W Wide Width Black Skechers Shoe New Women Work Memory Foam Slip Resistant 76580EWBLK,75,75,,USD,FALSE
AV-KM264uC1rwyj_gSfJ,SKECHERS,"Womens,Womens Shoes,Clothing,Women's Shoes,All Womens Shoes,Shoes,Sandals,Skechers,All Women's Shoes",Skechers 38562BLK Women's RUMBLERS - HOTSHOT Sandal Shoes,49.99,44.99,,USD,FALSE
AV-KM264uC1rwyj_gSfJ,SKECHERS,"Womens,Womens Shoes,Clothing,Women's Shoes,All Womens Shoes,Shoes,Sandals,Skechers,All Women's Shoes",Skechers 38562BLK Women's RUMBLERS - HOTSHOT Sandal Shoes,49.99,49.99,,USD,FALSE
AV-KM264uC1rwyj_gSfJ,SKECHERS,"Womens,Womens Shoes,Clothing,Women's Shoes,All Womens Shoes,Shoes,Sandals,Skechers,All Women's Shoes",Skechers 38562BLK Women's RUMBLERS - HOTSHOT Sandal Shoes,49.99,49.99,,USD,FALSE
AV_EeG8jKZqtpbFMTSuy,SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",74.99,74.99,,USD,FALSE
AV_EeG8jKZqtpbFMTSuy,SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",74.99,74.99,,USD,FALSE
AV_EeG8jKZqtpbFMTSuy,SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",74.99,74.99,,USD,FALSE
AV_EeG8jKZqtpbFMTSuy,SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",74.99,74.99,,USD,FALSE
AV_EeG8jKZqtpbFMTSuy,SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",74.99,74.99,,USD,FALSE
AV_EeG8jKZqtpbFMTSuy,SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",74.99,74.99,,USD,FALSE
AV_EeG8jKZqtpbFMTSuy,SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",74.99,74.99,,USD,FALSE
AV_EeG8jKZqtpbFMTSuy,SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",74.99,74.99,,USD,FALSE
AV_EeG8jKZqtpbFMTSuy,SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",74.99,74.99,,USD,FALSE
AV_EeG8jKZqtpbFMTSuy,SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",74.99,74.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,54.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,59.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,54.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,64.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,49.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,54.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,64.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,54.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,49.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,54.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,48.74,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,49.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,49.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,59.99,,USD,FALSE
AV2cVsE7vKc47QAVpJKS,SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,64.99,49.99,,USD,FALSE
